Date,Time,RSSI(dB),Volt(V),Amps(A),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-01,12:55:43.140,89,19.90,44.4,2455,4,6,321,-832,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:43.640,86,20.60,25.7,2450,1,-2,-328,-697,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:44.140,90,20.10,28.9,2433,-34,5,-692,-555,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:44.640,86,20.60,28.0,2546,3,-50,-406,375,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:45.140,79,20.70,26.0,2498,38,-27,678,834,1024,-205,205,0,0,-1017,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:45.640,95,20.00,31.3,2459,21,-7,798,270,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:46.140,95,19.90,34.4,2544,-908,224,-785,-222,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:46.640,82,21.00,33.2,2587,-852,-340,-428,-242,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:47.140,87,21.50,15.9,2789,-8,192,750,-6,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:47.640,85,20.90,22.7,2548,-382,2,36,109,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:48.140,81,21.50,16.1,2711,5,-359,6,36,1024,-205,205,0,0,-1014,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:48.640,89,21.80,13.9,2738,4,-112,-123,-7,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:49.150,92,21.80,13.6,2747,-72,-119,-293,-119,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:49.680,87,21.90,13.8,2699,-108,-175,-380,-318,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:50.190,94,21.90,14.0,2568,-64,-258,-452,-206,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:50.690,85,21.60,17.3,2416,-36,-435,-571,0,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:51.190,85,21.00,27.6,2406,-117,-266,-527,54,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:51.690,89,21.20,24.4,2472,-102,-314,-465,25,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:52.200,75,21.50,20.2,2495,-86,-377,-424,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:52.700,87,21.50,19.7,2495,-83,-362,-461,46,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:53.200,99,21.40,22.0,2476,-74,-357,-450,-7,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:53.700,86,21.40,21.3,2494,-70,-337,-464,-7,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:54.200,82,21.40,21.4,2499,-92,-239,-428,-3,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:54.700,81,21.50,19.8,2513,-77,-296,-411,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:55.200,78,21.40,19.2,2505,-75,-340,-398,-24,1024,-205,204,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:55.700,89,21.40,18.9,2507,-78,-341,-450,-2,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:56.210,98,21.30,20.0,2489,-83,-388,-457,30,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:56.760,94,21.30,20.7,2494,-74,-318,-453,-18,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:57.260,84,21.20,21.8,2499,-81,-309,-453,4,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:57.760,83,21.30,20.3,2500,-77,-343,-439,12,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:58.270,86,21.30,20.5,2499,-94,-486,-443,169,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:58.770,79,21.10,22.9,2483,-747,-291,-516,-215,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:59.320,87,20.90,25.8,2537,-894,-225,-481,-13,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:59.820,78,21.40,16.9,2562,-384,351,-738,-6,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:56:00.320,83,21.30,18.6,2528,-85,358,-342,-4,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:56:00.820,70,21.60,15.2,2440,4,-259,641,175,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:56:01.320,79,20.80,30.8,2425,4,-572,722,0,1024,-205,205,0,0,-1017,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:56:01.830,83,20.20,37.2,2428,4,-244,775,-22,1024,-205,205,0,0,-1017,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:56:02.330,80,21.20,20.6,2634,-11,245,351,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:56:02.830,85,21.90,9.1,3124,-1024,407,-383,57,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:56:03.330,78,21.80,12.0,2857,-1024,202,-244,-530,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:56:03.830,78,21.80,12.5,2751,-58,-275,84,-55,1024,-205,204,0,0,-1017,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:56:04.330,86,21.80,12.5,2760,1,-298,233,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:56:04.840,85,21.80,13.1,2395,-44,5,161,-756,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:56:05.340,87,20.30,36.6,2461,4,5,47,-686,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:56:05.840,87,21.50,16.5,2413,-862,311,-224,-808,1024,-205,204,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
