Date,Time,RSSI(dB),RxBt(V),A2(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
1970-01-01,00:06:03.490,79,7.9,0.0,1941,6,-21,326,-58,1024,614,492,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:03.990,74,7.9,0.0,1744,6,130,205,-133,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:04.490,74,7.9,0.0,1921,12,29,305,-14,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:04.990,78,7.9,0.0,2063,6,-202,373,142,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:05.490,74,7.9,0.0,2063,6,148,376,-144,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:05.990,74,7.9,0.0,1983,6,9,405,-36,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:06.490,73,7.9,0.0,1958,-57,-2,387,-12,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:06.990,76,7.9,0.0,1943,-162,69,408,-20,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:07.490,74,7.9,0.0,1959,18,-25,434,-59,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:07.990,70,7.9,0.0,1943,10,59,356,-7,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:06:08.490,69,7.9,0.0,1975,183,167,355,114,1024,614,492,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
