Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-15,09:25:06.800,5,5,59,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:07.300,9,6,89,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:07.800,5,6,102,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:08.300,6,6,118,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:08.800,6,6,139,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:09.300,5,6,144,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:09.800,5,6,166,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:10.300,5,6,179,-4,1024,-205,-233,1,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:10.800,4,5,182,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:11.300,4,5,181,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:11.800,4,6,128,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:12.300,5,6,122,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:12.800,4,6,121,-7,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:13.300,4,5,121,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:13.800,3,8,110,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:14.300,-232,82,346,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:14.800,-191,72,307,243,1024,-205,-234,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:15.300,-132,-7,296,76,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:15.800,-24,6,269,-77,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:16.300,4,-7,305,-147,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:16.800,4,29,320,-238,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:17.300,2,-64,277,-9,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:17.800,5,41,334,138,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:18.300,4,-505,644,87,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:18.800,6,-246,1024,-7,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:19.300,5,-203,1024,-25,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:19.800,5,-412,-277,-61,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:20.300,34,-503,-1024,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:20.800,72,-686,-965,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:21.300,4,-517,-113,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:21.800,150,-465,-245,167,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:22.300,5,-36,-461,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:22.800,8,-97,-542,11,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:23.300,5,4,-380,45,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:23.800,5,6,-336,158,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:24.300,59,6,-340,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:24.800,6,6,-300,-200,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:25.300,5,6,-273,-82,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:25.800,4,-84,-311,-6,1024,-205,-234,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:26.300,4,1,-343,0,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:26.800,5,-45,-338,3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:27.300,97,-358,-933,1,1024,-205,-234,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:25:27.800,138,-207,-984,-3,1024,-205,-233,0,-1024,-1,-1,0,-1,0,-1,1,-1,0x0000000000000000,7.5
