Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
1970-01-01,00:07:01.200,1,1,53,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:01.700,1,1,49,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:02.200,1,1,48,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:02.700,1,2,48,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:03.200,1,1,48,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:03.700,1,1,48,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:04.200,1,1,48,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:04.700,1,1,48,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:05.200,1,2,48,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:05.700,1,1,48,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:06.200,0,1,48,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:06.700,1,1,48,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:07.200,0,344,48,-1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:07.700,1,4,48,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:08.200,1,1,35,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:08.700,1,1,2,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:09.200,1,1,2,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:09.700,1,1,2,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:10.200,1,1,3,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:10.700,1,1,2,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:11.200,0,2,3,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:11.700,1,1,2,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:12.200,0,2,2,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:07:12.700,0,2,2,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
