Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),RPM(rpm),Tmp1(@C),Tmp2(@C),RB1C(mAh),RB2C(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2000-01-01,01:29:19.840,91,8.1,22.69,0.0,1050,27,26,0,0,-1,2,-1024,1,-1024,614,1,-1,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:20.340,91,8.1,22.69,0.0,1119,27,26,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:20.840,92,8.1,22.69,0.0,1158,27,26,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:21.340,89,8.1,22.64,2.2,1260,27,26,0,0,0,2,-1024,0,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:21.840,91,8.1,22.61,1.3,1409,27,26,0,0,0,2,-1024,0,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:22.340,89,8.1,22.60,3.4,1560,27,26,0,0,-1,2,-1024,1,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:22.840,91,8.1,22.58,1.6,1700,27,26,0,0,0,2,-1024,1,-1024,614,1,-2,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:23.340,89,8.1,22.58,1.0,1820,27,26,1,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:23.840,90,8.1,22.62,4.5,1834,27,26,1,0,0,2,-1024,0,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:24.340,92,8.1,22.61,4.0,1823,28,26,2,0,-1,2,-1024,1,-1024,614,1,-2,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,01:29:24.840,89,8.1,22.62,0.0,1810,28,26,2,0,-1,2,-1024,0,-1024,614,0,-1,-992,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.2
2000-01-01,02:37:44.130,0,0.0,0.00,0.0,0,0,0,0,0,1,-1000,0,-1024,614,-25,-1,-991,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,8.0
2000-01-01,02:37:44.630,0,0.0,0.00,0.0,0,0,0,0,0,2,-1000,0,-1024,614,-24,-1,-991,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
