Date,Time,RSSI(dB),RxBt(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-07,16:23:41.620,97,7.9,42,3,5,15,-2,1024,-205,285,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:42.120,95,7.9,75,3,6,-18,-2,1024,-205,285,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:42.620,97,7.9,0,3,4,-29,-2,1024,-205,286,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:43.120,96,7.9,14,4,4,-48,-2,1024,-205,285,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:43.620,96,7.9,77,3,4,-24,-2,1024,-205,285,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:44.120,96,7.9,134,3,3,-17,-2,1024,-205,285,-1,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:44.620,97,7.9,216,81,4,-17,-2,1024,-205,285,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:45.120,97,7.9,320,52,4,-15,-2,1024,-205,286,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:45.620,96,7.9,424,3,4,-7,-3,1024,-205,286,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:46.120,96,7.9,513,3,12,11,163,1024,-205,285,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:46.620,97,7.9,609,3,5,15,-1,1024,-205,285,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:47.120,96,7.9,747,3,5,31,130,1024,-205,285,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:47.620,95,7.9,833,-22,5,73,-2,1024,-205,285,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:48.120,95,7.9,925,1,-11,76,-1,1024,-205,286,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:48.620,97,7.9,1037,0,4,128,-1,1024,-205,285,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:49.130,96,7.9,1118,-102,93,178,109,1024,-205,285,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:49.640,94,7.9,1227,3,86,254,121,1024,-205,286,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:50.140,94,7.9,1352,3,9,432,-2,1024,-205,286,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:50.640,95,7.9,1429,3,6,508,-2,1024,-205,286,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:51.140,92,7.9,1510,1,118,442,40,1024,-205,286,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:23:51.640,93,7.9,1562,3,11,459,7,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:52.140,90,7.9,1642,-131,-69,476,59,1024,-205,285,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:52.640,94,7.9,1760,-553,57,395,-21,1024,-205,286,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:53.140,86,7.9,1788,-413,5,375,36,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:53.640,90,7.9,1856,-627,-95,363,38,1024,-205,285,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:54.140,86,7.9,1897,-901,28,447,-64,1024,-205,285,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:54.640,88,7.9,1888,-1024,34,357,-24,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:55.140,82,7.9,1860,-1024,8,849,-38,1024,-205,285,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
2019-12-07,16:23:55.640,79,7.9,1857,-1024,8,139,-2,1024,-205,286,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.7
